,logistic,svm,rf,gb
Pronunciation Audio,0.6250,0.6250,0.7500,0.5000
PD setting 1,0.5497,0.5217,0.5000,0.5342
PD setting 2,0.3497,0.3077,0.3333,0.3893
ECGFiveDays,0.4913,0.4994,0.5215,0.5308
FreezerSmallTrain,0.4958,0.4905,0.4789,0.4789
HouseTwenty,0.5294,0.5378,0.4790,0.4958
InsectEPGRegularTrain,0.4498,0.4739,0.4217,0.4337
ItalyPowerDemand,0.6142,0.5967,0.5549,0.5073
Lightning7,0.2740,0.2877,0.2466,0.2192
MoteStrain,0.4417,0.4361,0.4984,0.4888
PowerCons,0.4833,0.4889,0.4944,0.5111
SonyAIBORobotSurface2,0.5971,0.6170,0.5373,0.5299
UWaveGestureLibraryAll,0.1686,0.1901,0.2063,0.1815
